symbol,funding_centrality,borrowing_centrality,date
cZRX,0.0013289831266531848,0.011719170294596045,2021-11-13
cAAVE,0.0008070102267869988,0.0038289818524047834,2021-11-14
cBAT,0.011391511213621565,0.03378377583047718,2021-11-14
cCOMP,0.008724280270097846,0.06262112893890855,2021-11-14
cDAI,0.5345348743170901,0.029736139351755408,2021-11-14
cETH,0.06102612397354191,0.9722041559858638,2021-11-14
cLINK,0.023876977233910444,0.0027029419400762685,2021-11-14
cREP,1.4528962966404196e-06,0.0,2021-11-14
cSAI,1.0255945272418216e-05,0.0,2021-11-14
cSUSHI,5.803484488913271e-06,0.0002515271902273707,2021-11-14
cTUSD,0.31121535151613694,0.0,2021-11-14
cUNI,0.004726211556945891,0.00947740405105387,2021-11-14
cUSDC,0.6634961542050629,0.10120318326684949,2021-11-14
cUSDT,0.41448340535142564,0.0,2021-11-14
cWBTC,6.824073116698039e-05,0.014275126660847823,2021-11-14
cWBTC2,0.029477126043122973,0.19538567379598898,2021-11-14
cYFI,0.00010054096332320882,0.0002598868932086868,2021-11-14
cZRX,0.0013234472582644636,0.011779123068004193,2021-11-14
cAAVE,0.0008005620160421988,0.0038431209304014757,2021-11-15
cBAT,0.011299089265642277,0.033594055864443646,2021-11-15
cCOMP,0.006406442647605281,0.06277981030999932,2021-11-15
cDAI,0.5290419687947187,0.029192099526715063,2021-11-15
cETH,0.06155397577115355,0.9725705144621294,2021-11-15
cLINK,0.024245689426124095,0.002589792026336187,2021-11-15
cREP,1.4309221857217437e-06,0.0,2021-11-15
cSAI,1.0031183824576286e-05,0.0,2021-11-15
cSUSHI,5.725931954198728e-06,0.0002443994594373812,2021-11-15
cTUSD,0.3093552264988299,0.0,2021-11-15
cUNI,0.00550841259089176,0.009253062916471934,2021-11-15
cUSDC,0.6703100857661364,0.10061954862977739,2021-11-15
cUSDT,0.41186184099575013,0.0,2021-11-15
cWBTC,6.667364026338328e-05,0.014082237602472177,2021-11-15
cWBTC2,0.02983233944871274,0.1939594874242038,2021-11-15
cYFI,9.816917911105085e-05,0.0002498711233419834,2021-11-15
cZRX,0.0013146957904338894,0.011595122537536477,2021-11-15
cAAVE,0.0007509788306001459,0.0036549491602582743,2021-11-16
cBAT,0.011221581018849458,0.03252090116267881,2021-11-16
cCOMP,0.0062548857762129905,0.06029425427494517,2021-11-16
cDAI,0.5162162786531155,0.029741218218786745,2021-11-16
cETH,0.05949460834046482,0.9518485707402878,2021-11-16
cLINK,0.02883277205809679,0.002453421881334108,2021-11-16
cREP,1.4838688445737134e-06,0.0,2021-11-16
cSAI,1.0348974841518914e-05,0.0,2021-11-16
cSUSHI,5.7743988708405045e-06,0.0002353297295744529,2021-11-16
cTUSD,0.32461974312634984,0.0,2021-11-16
cUNI,0.005364393982814704,0.009298014126368439,2021-11-16
cUSDC,0.6644586845247049,0.09646870850291725,2021-11-16
cUSDT,0.42570512674777744,0.0,2021-11-16
cWBTC,6.906223113382185e-05,0.013797059008471722,2021-11-16
cWBTC2,0.029070335952084764,0.28051980734823473,2021-11-16
cYFI,9.879549665542073e-05,0.00026452596346033283,2021-11-16
cZRX,0.0014673808404775755,0.010623699086552639,2021-11-16
cAAVE,8.70263030174713e-05,0.00358583676779878,2021-11-17
cBAT,0.01292080025357665,0.03294329765584108,2021-11-17
cCOMP,0.003911033369020897,0.06128151434230114,2021-11-17
cDAI,0.4655808059453284,0.029788765865526343,2021-11-17
cETH,0.062259175208817776,0.939083023404601,2021-11-17
cLINK,0.03632319178318684,0.0024817442613384285,2021-11-17
cREP,1.5125250695727293e-06,-0.0,2021-11-17
cSAI,1.0763083612583843e-05,-0.0,2021-11-17
cSUSHI,5.746846244769807e-06,0.00022619666168227873,2021-11-17
cTUSD,0.01663694312824002,-0.0,2021-11-17
cUNI,0.006177842356497084,0.009660948060890987,2021-11-17
cUSDC,0.6956488953309674,0.09281745425298639,2021-11-17
cUSDT,0.5409513491421999,-0.0,2021-11-17
cWBTC,7.135182875658132e-05,0.013969201036676636,2021-11-17
cWBTC2,0.03135832613421718,0.32145522348430117,2021-11-17
cYFI,0.0001066067131633793,0.0002682310397917806,2021-11-17
cZRX,0.0016188235067417687,0.011784155202876215,2021-11-17
cAAVE,8.714184453410137e-05,0.003465803708773257,2021-11-18
cBAT,0.012163128828942075,0.03174652563032828,2021-11-18
cCOMP,0.0036066557375158534,0.058898330108953546,2021-11-18
cDAI,0.4885038979635192,0.028378207354482,2021-11-18
cETH,0.062028593675653505,0.9222627585058752,2021-11-18
cLINK,0.035090510610116143,0.0023835396292974267,2021-11-18
cREP,1.5178837217635983e-06,-0.0,2021-11-18
cSAI,1.0588858211900745e-05,-0.0,2021-11-18
cSUSHI,5.0488498368396695e-06,0.0002433443897102165,2021-11-18
cTUSD,0.01590084397246002,-0.0,2021-11-18
cUNI,0.0064380661172878965,0.009306612039430347,2021-11-18
cUSDC,0.6875084118658731,0.09135301069429502,2021-11-18
cUSDT,0.5312290590427715,-0.0,2021-11-18
cWBTC,6.996129535279569e-05,0.013471747100594662,2021-11-18
cWBTC2,0.030435453193690443,0.36791227033439555,2021-11-18
cYFI,0.0001027643062102672,0.00024420559913754773,2021-11-18
cZRX,0.0055987985934573626,0.01258977000442635,2021-11-18
cAAVE,8.476602002684525e-05,0.0033942140402692432,2021-11-19
cBAT,0.012787516400873947,0.034340307551946926,2021-11-19
cCOMP,0.003466691877069568,0.057530523196365355,2021-11-19
cDAI,0.48203084890249415,0.02709757488746266,2021-11-19
cETH,0.06259130734995895,0.9068076738226144,2021-11-19
cLINK,0.03301586287971508,0.00230622571585524,2021-11-19
cREP,1.5144084704069825e-06,-0.0,2021-11-19
cSAI,1.0495661592185218e-05,-0.0,2021-11-19
cSUSHI,5.065743750857167e-06,0.00023938177690163354,2021-11-19
cTUSD,0.01544691427211078,-0.0,2021-11-19
cUNI,0.006123927649772682,0.009067783595137796,2021-11-19
cUSDC,0.6899234023072472,0.09006683161991326,2021-11-19
cUSDT,0.5341275794433615,-0.0,2021-11-19
cWBTC,6.953821622756157e-05,0.013270966153737539,2021-11-19
cWBTC2,0.029502088970417645,0.4048670067884757,2021-11-19
cYFI,0.00010285705446897305,0.00024153522657631787,2021-11-19
cZRX,0.005470411760459667,0.013111853981477321,2021-11-19
cAAVE,8.800261912796355e-05,0.0034014304170781667,2021-11-20
cBAT,0.011970377184825616,0.033910605420334534,2021-11-20
cCOMP,0.0034330605236667176,0.0571923784618705,2021-11-20
cDAI,0.5000855231136652,0.03153836401994985,2021-11-20
cETH,0.0624662542358808,0.9024993826385568,2021-11-20
cLINK,0.03401473322055457,0.001931433986581076,2021-11-20
cREP,1.4868019289415596e-06,-0.0,2021-11-20
cSAI,1.0136498473857542e-05,-0.0,2021-11-20
cSUSHI,4.8412693714199976e-06,0.00022656695332517532,2021-11-20
cTUSD,0.014760932861748299,-0.0,2021-11-20
cUNI,0.006129897473968549,0.00896070596838823,2021-11-20
cUSDC,0.6921423226788319,0.09066814403750452,2021-11-20
cUSDT,0.5142980642892586,-0.0,2021-11-20
cWBTC,6.742051165509217e-05,0.013056235196912168,2021-11-20
cWBTC2,0.029213709095709462,0.4140297454746023,2021-11-20
cYFI,9.90599777452178e-05,0.00023037190520090202,2021-11-20
cZRX,0.0052859394614373076,0.013106946173882592,2021-11-20
cAAVE,8.660833812664998e-05,0.003425714605498116,2021-11-21
cBAT,0.01273061804422366,0.03427649717347001,2021-11-21
cCOMP,0.0033789873556651757,0.0578905132917359,2021-11-21
cDAI,0.5004369133650681,0.031510403896190906,2021-11-21
cETH,0.06042784891931206,0.9021200773668072,2021-11-21
cLINK,0.03370689406159286,0.0019259727043017412,2021-11-21
cREP,1.4793614423602152e-06,-0.0,2021-11-21
cSAI,9.950983389513254e-06,-0.0,2021-11-21
cSUSHI,4.702344748147472e-06,0.00022457995084504778,2021-11-21
cTUSD,0.014835940134536955,-0.0,2021-11-21
cUNI,0.0057367602910284,0.009045770105465293,2021-11-21
cUSDC,0.6788018993286364,0.08972999319337852,2021-11-21
cUSDT,0.5316973131692876,-0.0,2021-11-21
cWBTC,6.654811896420193e-05,0.013159106756833497,2021-11-21
cWBTC2,0.02906077458162618,0.414925704759135,2021-11-21
cYFI,9.662553824721004e-05,0.00022944369204195485,2021-11-21
cZRX,0.0054875319896372675,0.01322582710365732,2021-11-21
cAAVE,8.479916962180008e-05,0.0032955423698642163,2021-11-22
cBAT,0.012701164867361354,0.03274595997489722,2021-11-22
cCOMP,0.0031720174555030776,0.0543220482912018,2021-11-22
cDAI,0.50265833686357,0.03214359390775978,2021-11-22
cETH,0.06053202137273383,0.8832377051888074,2021-11-22
cLINK,0.033563757661659824,0.0020690783553646485,2021-11-22
cREP,1.4790835513565777e-06,0.0,2021-11-22
cSAI,9.88354824176838e-06,0.0,2021-11-22
cSUSHI,4.635759929200495e-06,0.0002223832921712971,2021-11-22
cTUSD,0.014456698212926472,0.0,2021-11-22
cUNI,0.005665206406756585,0.008996298455914159,2021-11-22
cUSDC,0.6867569213454615,0.08763939009094121,2021-11-22
cUSDT,0.5192829370110539,0.0,2021-11-22
cWBTC,6.585282057104498e-05,0.012572869172895079,2021-11-22
cWBTC2,0.02846552911650872,0.45465768404655277,2021-11-22
cYFI,9.616500545188899e-05,0.00022780588422323628,2021-11-22
cZRX,0.005597145697971034,0.013646862659148065,2021-11-22
cAAVE,8.434543646557536e-05,0.003289830664643305,2021-11-23
cBAT,0.012776731606869969,0.03306410646568625,2021-11-23
cCOMP,0.003202306068204235,0.0541839221315,2021-11-23
cDAI,0.5090458211389278,0.033046722767089656,2021-11-23
cETH,0.061377888504075696,0.8813392019748978,2021-11-23
cLINK,0.02666822196410742,0.0020823895154027526,2021-11-23
cREP,1.4982484313634433e-06,-0.0,2021-11-23
cSAI,9.882177016815607e-06,-0.0,2021-11-23
cSUSHI,0.00169622975088662,0.00026889220361663577,2021-11-23
cTUSD,0.015182166698831802,-0.0,2021-11-23
cUNI,0.005807902064396022,0.009283883090605655,2021-11-23
cUSDC,0.6804765395046585,0.08975994927785987,2021-11-23
cUSDT,0.5215248336068595,-0.0,2021-11-23
cWBTC,6.532546990867298e-05,0.012688261124098538,2021-11-23
cWBTC2,0.02978079540803031,0.4578350068805678,2021-11-23
cYFI,9.810226520906938e-05,0.00023499163519189264,2021-11-23
cZRX,0.00546957158774399,0.01370333139824138,2021-11-23
cAAVE,8.379689377879678e-05,0.0032234934240759515,2021-11-24
cBAT,0.012204436353795593,0.03314239546324822,2021-11-24
cCOMP,0.0032628546067956215,0.05422841512489263,2021-11-24
cDAI,0.5211295486095675,0.03249533818420944,2021-11-24
cETH,0.06342529492486006,0.8809946378580055,2021-11-24
cLINK,0.02706949996296585,0.0020637691308963983,2021-11-24
cREP,1.5218462958770928e-06,-0.0,2021-11-24
cSAI,9.941390723498112e-06,-0.0,2021-11-24
cSUSHI,0.0017785895011625497,0.00026545899301396337,2021-11-24
cTUSD,0.015938091393468235,-0.0,2021-11-24
cUNI,0.006039282993971121,0.009311120551947275,2021-11-24
cUSDC,0.6957306754301464,0.09046079100933152,2021-11-24
cUSDT,0.488000058499022,-0.0,2021-11-24
cWBTC,6.532867735682736e-05,0.01263401785534704,2021-11-24
cWBTC2,0.03160285114760243,0.45839045192608885,2021-11-24
cYFI,0.00010047950461864437,0.00023236056261940607,2021-11-24
cZRX,0.005587720496757345,0.013686148647697611,2021-11-24
cAAVE,7.960949517387277e-05,0.0031249177831093344,2021-11-25
cBAT,0.013941170412509522,0.036095165126957374,2021-11-25
cCOMP,0.0032849175427475874,0.05533943848583769,2021-11-25
cDAI,0.5221907746553544,0.03321951285783656,2021-11-25
cETH,0.06437558130051851,0.8889454348237458,2021-11-25
cLINK,0.02630095872772297,0.002151725166354607,2021-11-25
cREP,1.5099140721023967e-06,0.0,2021-11-25
cSAI,9.736597188753275e-06,0.0,2021-11-25
cSUSHI,0.0016908430938092464,0.000126318591576832,2021-11-25
cTUSD,0.015935906518578832,0.0,2021-11-25
cUNI,0.005629388351979922,0.009034592140516284,2021-11-25
cUSDC,0.6965222454474191,0.09211873651512187,2021-11-25
cUSDT,0.48558272244586637,0.0,2021-11-25
cWBTC,6.34861913050083e-05,0.012745375951469538,2021-11-25
cWBTC2,0.031930028099017876,0.44200936809129504,2021-11-25
cYFI,0.00010092195585770708,0.00023074460016789174,2021-11-25
cZRX,0.005815830570742866,0.013801727476719133,2021-11-25
cAAVE,6.563964458920491e-05,0.0028091814652684752,2021-11-26
cBAT,0.010570689607323358,0.03312218636428371,2021-11-26
cCOMP,0.002283822227890045,0.047530145210738374,2021-11-26
cDAI,0.5094879589512327,0.03497836477483817,2021-11-26
cETH,0.08255349838986574,0.9198915014843075,2021-11-26
cLINK,0.018881542779801638,0.002077388162382133,2021-11-26
cREP,1.3915086621242373e-06,-0.0,2021-11-26
cSAI,9.009607242536467e-06,-0.0,2021-11-26
cSUSHI,0.0015278651035186656,0.00013827774176906654,2021-11-26
cTUSD,0.011300010377470164,-0.0,2021-11-26
cUNI,0.004574766078930809,0.008180568657317661,2021-11-26
cUSDC,0.7118325062336253,0.11585288406503083,2021-11-26
cUSDT,0.474962017563265,-0.0,2021-11-26
cWBTC,5.602282719848609e-05,0.01185760639603675,2021-11-26
cWBTC2,0.02572586566041771,0.3680434811414192,2021-11-26
cYFI,0.00010705746712899411,0.00025085642979825605,2021-11-26
cZRX,0.005122919256713108,0.011056092423453711,2021-11-26
cAAVE,6.151795706087398e-05,0.002594254390602642,2021-11-27
cBAT,0.009255940764841106,0.031134284863409772,2021-11-27
cCOMP,0.002102428854830255,0.0451265650201925,2021-11-27
cDAI,0.5045367791893537,0.035077462070706174,2021-11-27
cETH,0.09551129727361955,0.9285976634210815,2021-11-27
cLINK,0.016289950144779953,0.0019364645063794015,2021-11-27
cREP,1.3223793657561654e-06,0.0,2021-11-27
cSAI,8.572567213045476e-06,0.0,2021-11-27
cSUSHI,0.0012478392661438502,0.0001231174956346498,2021-11-27
cTUSD,0.009663092265086999,0.0,2021-11-27
cUNI,0.008937808844306633,0.007750993658535006,2021-11-27
cUSDC,0.7222279331869276,0.1313410237795271,2021-11-27
cUSDT,0.46214585260389635,0.0,2021-11-27
cWBTC,5.283405031267696e-05,0.011447097852854088,2021-11-27
cWBTC2,0.02400722874256073,0.3404687620043198,2021-11-27
cYFI,0.00011069956875362505,0.0002502436594637385,2021-11-27
cZRX,0.004649305574852756,0.009954213606202491,2021-11-27
cAAVE,6.488787359793935e-05,0.0027137592244773395,2021-11-28
cBAT,0.009951143433755838,0.031617634613222104,2021-11-28
cCOMP,0.0021366104743023168,0.0456237199121236,2021-11-28
cDAI,0.5086509731179976,0.03555817784949046,2021-11-28
cETH,0.0933518723185527,0.9369769225679995,2021-11-28
cLINK,0.01605107611726869,0.0018112219580363577,2021-11-28
cREP,1.3467489855983418e-06,0.0,2021-11-28
cSAI,8.743661487050215e-06,0.0,2021-11-28
cSUSHI,0.001265057932641724,0.00012271997415926034,2021-11-28
cTUSD,0.009846678421931772,0.0,2021-11-28
cUNI,0.008885189650806308,0.007503959802838744,2021-11-28
cUSDC,0.7228059303696713,0.1299266755720951,2021-11-28
cUSDT,0.45714218478567115,0.0,2021-11-28
cWBTC,5.4645472243857005e-05,0.01169225756013427,2021-11-28
cWBTC2,0.023940841508286757,0.3171882993904489,2021-11-28
cYFI,0.0001090640867716119,0.00025271569717212833,2021-11-28
cZRX,0.004506759755512787,0.00596350495499132,2021-11-28
cAAVE,6.417732461344191e-05,0.0027411411989693413,2021-11-29
cBAT,0.009454613189663329,0.03177568338057528,2021-11-29
cCOMP,0.002247138505756863,0.04682045675238784,2021-11-29
cDAI,0.49842716113281177,0.03532155468980658,2021-11-29
cETH,0.0990864733346067,0.9362692440976048,2021-11-29
cLINK,0.01674569075406312,0.0018302168861222214,2021-11-29
cREP,1.3304284238645363e-06,0.0,2021-11-29
cSAI,8.741246664668493e-06,0.0,2021-11-29
cSUSHI,0.0014050498476145016,0.00012960247817562758,2021-11-29
cTUSD,0.010447513481400585,0.0,2021-11-29
cUNI,0.00928292947283956,0.008498569666766806,2021-11-29
cUSDC,0.7365834410774889,0.1334829536893695,2021-11-29
cUSDT,0.44488006198018215,0.0,2021-11-29
cWBTC,5.442282075006026e-05,0.011771317271437536,2021-11-29
cWBTC2,0.026199924512138643,0.31760881916688627,2021-11-29
cYFI,0.00011099104637540717,0.00023975095051768458,2021-11-29
cZRX,0.004493342238039854,0.005970991981089203,2021-11-29
cAAVE,7.665314250048834e-05,0.0028690061893586172,2021-11-30
cBAT,0.009132355871037714,0.03174046219591373,2021-11-30
cCOMP,0.00219388535414173,0.048535365979978234,2021-11-30
cDAI,0.5060529213870075,0.035744755292681014,2021-11-30
cETH,0.10470790588041913,0.9548692228625774,2021-11-30
cLINK,0.013968368203962153,0.0019038275241221741,2021-11-30
cREP,1.326725889813314e-06,-0.0,2021-11-30
cSAI,8.768692704228848e-06,-0.0,2021-11-30
cSUSHI,0.001337093905679309,0.00011241748038526895,2021-11-30
cTUSD,0.009987352041020612,-0.0,2021-11-30
cUNI,0.009154985362113816,0.008310203733790877,2021-11-30
cUSDC,0.7483103610522639,0.14095882892733805,2021-11-30
cUSDT,0.4145188360693584,-0.0,2021-11-30
cWBTC,5.4506023956671326e-05,0.012031045547159438,2021-11-30
cWBTC2,0.02577098009011866,0.2519023506216432,2021-11-30
cYFI,0.0001121736134367768,0.0003538974776712632,2021-11-30
cZRX,0.004426196956001486,0.005827188555543529,2021-11-30
cAAVE,7.860777816177787e-05,0.0030703608829028397,2021-12-01
cBAT,0.009566792482268703,0.03534259369916572,2021-12-01
cCOMP,0.00229804119409868,0.05151265565999716,2021-12-01
cDAI,0.5098902460684556,0.03542499911350568,2021-12-01
cETH,0.09664175665833964,0.9526234605686331,2021-12-01
cLINK,0.013273741621768843,0.0019484929582597838,2021-12-01
cREP,1.3661036828710486e-06,-0.0,2021-12-01
cSAI,9.026500554123242e-06,-0.0,2021-12-01
cSUSHI,0.0012582954927670422,0.00011585014106455932,2021-12-01
cTUSD,0.010833154960938935,-0.0,2021-12-01
cUNI,0.00495895637998695,0.008938481932677737,2021-12-01
cUSDC,0.744209643429781,0.1311840411180913,2021-12-01
cUSDT,0.4191411797147279,-0.0,2021-12-01
cWBTC,5.667156776821356e-05,0.012479206505312599,2021-12-01
cWBTC2,0.026580877618423874,0.26430660634755726,2021-12-01
cYFI,0.00010838027327994186,0.0003668543921600366,2021-12-01
cZRX,0.004679008608493397,0.0058928421039215195,2021-12-01
cAAVE,7.924744392833576e-05,0.003172784696004891,2021-12-02
cBAT,0.00958392448967222,0.03567505590358565,2021-12-02
cCOMP,0.002376187594869235,0.05216514242994913,2021-12-02
cDAI,0.5024358969216022,0.03523626854789193,2021-12-02
