healthBin,account,borrowUSD,pctAccount,pctBorrowUSD,date
"(1.0, 1.5]",3,6305.524065809117,50.0,99.95871671266016,2019-05-13
"(1.5, 2.0]",0,0.0,0.0,0.0,2019-05-13
"(2.0, 2.5]",1,0.7270694646542954,16.666666666666664,0.011525914402878167,2019-05-13
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-13
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-13
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-13
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-13
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-13
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-13
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-13
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-13
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-13
"(7.0, 7.5]",0,0.0,0.0,0.0,2019-05-13
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-13
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-13
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-13
"(9.0, 9.5]",1,0.06068070286953078,16.666666666666664,0.000961944657534537,2019-05-13
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-13
"(10.0, inf]",1,1.8164525513377612,16.666666666666664,0.0287954282794195,2019-05-13
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-14
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-14
"(1.0, 1.5]",2,6236.69238510395,33.33333333333333,98.03241127737871,2019-05-14
"(1.5, 2.0]",0,0.0,0.0,0.0,2019-05-14
"(2.0, 2.5]",1,0.7130218431014599,16.666666666666664,0.011207743825818317,2019-05-14
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-14
"(3.0, 3.5]",1,124.4005410462074,16.666666666666664,1.9554090934640462,2019-05-14
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-14
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-14
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-14
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-14
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-14
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-14
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-14
"(7.0, 7.5]",0,0.0,0.0,0.0,2019-05-14
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-14
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-14
"(8.5, 9.0]",1,0.061790031194954756,16.666666666666664,0.0009712561365722871,2019-05-14
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-14
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-14
"(10.0, inf]",1,4.0028544670183166e-05,16.666666666666664,6.291948538803742e-07,2019-05-14
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-15
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-15
"(1.0, 1.5]",2,8189.425442778906,33.33333333333333,95.62142952356385,2019-05-15
"(1.5, 2.0]",1,374.13543393026896,16.666666666666664,4.368482902469846,2019-05-15
"(2.0, 2.5]",1,0.7899554592234256,16.666666666666664,0.009223683736872212,2019-05-15
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-15
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-15
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-15
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-15
